Seq_Name,Location,Seq_Length,Mol_Wght(T),H/phob(T),H/philic,Uniq(T),Isoelc(Pi),group1_AlNP,group2_ArNP,group3_NeP,group4_AP,group5_BP,group6_Uniq
EF2_ENTHI,Cytoplasm,840,108319,930.5,-1047.5,-88.8,5065.93,28.80952381,7.5,23.69047619,11.07142857,14.04761905,12.5
143B_BOVIN,Cytoplasm,245,32311,220.9,-397.4,-12,1439.18,26.93877551,7.755102041,28.57142857,17.55102041,13.06122449,6.12244898
GLB2_ASCSU,Cytoplasm,153,20170,153.1,-213.8,-12.4,927.03,28.10457516,9.803921569,21.56862745,10.45751634,18.30065359,8.496732026
QOR_MOUSE,Cytoplasm,331,41168,406.9,-380.6,-37.2,2020.98,33.83685801,6.344410876,20.24169184,9.063444109,13.89728097,15.40785498
GTMU_CAVPO,Cytoplasm,217,29577,218.9,-288.4,-23.6,1316.31,24.42396313,14.28571429,23.04147465,12.44239631,14.74654378,10.59907834
ACLY_RAT,Cytoplasm,1100,140279,1244.5,-1259.2,-130,6672.33,30.72727273,8.818181818,21.81818182,8.727272727,13.27272727,14.27272727
COAC_YEAST,Cytoplasm,2237,290740,2564.5,-3078.2,-228,13509.35,30.08493518,8.27000447,23.02190434,12.33795262,13.94725078,11.39919535
G3P2_AGABI,Cytoplasm,338,42594,401.8,-399.3,-32.8,2043.51,32.5443787,8.284023669,22.78106509,9.171597633,12.72189349,12.72189349
GTC_RABIT,Cytoplasm,220,29231,254.1,-333.8,-23.6,1357,30.45454545,8.181818182,18.63636364,13.63636364,17.72727273,10.45454545
EF1A_TETPY,Cytoplasm,435,56054,490.8,-601.7,-52.4,2677.13,29.42528736,7.126436782,20,10.34482759,17.01149425,13.56321839
GLNA_CRILO,Cytoplasm,373,48786,298,-482,-50.4,2263.97,21.17962466,10.72386059,25.4691689,12.86863271,15.01340483,15.28150134
TCPD_MOUSE,Cytoplasm,539,67683,701.4,-678,-41.6,3279.14,35.62152134,2.597402597,26.90166976,9.461966605,13.3580705,9.833024119
SODC_BRUPA,Cytoplasm,158,19149,167.8,-204.1,-19.2,958.43,29.11392405,3.164556962,22.78481013,8.227848101,15.18987342,18.98734177
IPPI_YEAST,Cytoplasm,287,38331,283.5,-437.7,-27.6,1675.7,24.3902439,9.407665505,26.13240418,17.42160279,13.58885017,9.407665505
ABL1_HUMAN,Cytoplasm,1130,143128,978.8,-1516.9,-178.8,6952.87,25.48672566,6.371681416,25.66371681,11.59292035,15.04424779,15.66371681
GSHC_HUMAN,Cytoplasm,201,25474,232.4,-221.1,-30.8,1215.76,31.84079602,8.457711443,22.3880597,11.44278607,10.94527363,15.92039801
CYTA_HUMAN,Cytoplasm,98,12740,93,-152.4,-11.2,586.49,26.53061224,8.163265306,22.44897959,14.28571429,14.28571429,13.26530612
LEU3_KLULA,Cytoplasm,362,45083,469.2,-433.3,-47.2,2164.99,36.74033149,4.972375691,19.61325967,11.32596685,11.32596685,14.36464088
KC1B_BOVIN,Cytoplasm,336,44739,330.3,-456.6,-30.4,2077.76,24.70238095,11.01190476,25.89285714,8.630952381,16.66666667,11.01190476
PP11_YEAST,Cytoplasm,311,41077,336.9,-379.6,-29.6,1840.97,27.65273312,11.5755627,24.11575563,11.89710611,12.21864952,11.25401929
PYP3_SCHPO,Cytoplasm,303,39979,369.5,-382.6,-26,1831.78,30.0330033,9.900990099,28.05280528,11.55115512,12.54125413,8.580858086
VPS1_YEAST,Cytoplasm,704,91300,832.6,-1041.1,-76.4,4292.9,30.11363636,5.681818182,24.57386364,11.93181818,15.34090909,10.9375
PA1S_HUMAN,Cytoplasm,157,20719,162.2,-224.5,-10.4,946.31,28.02547771,8.917197452,27.38853503,11.46496815,15.2866242,7.006369427
PTN7_HUMAN,Cytoplasm,360,46989,348.7,-482.3,-58,2195.19,26.94444444,6.666666667,24.72222222,10.55555556,14.16666667,15.27777778
ENO_SCHJA,Cytoplasm,434,54991,491.8,-537.5,-41.2,2608.15,32.48847926,6.451612903,24.42396313,12.44239631,12.90322581,11.98156682
CAH2_MOUSE,Cytoplasm,259,33572,239.9,-365.2,-33.2,1566.07,25.48262548,10.42471042,23.93822394,10.42471042,15.44401544,13.51351351
CAN2_HUMAN,Cytoplasm,700,92498,726.9,-987.4,-58.8,4148.71,26.57142857,10.71428571,22.28571429,13.42857143,13.28571429,10.71428571
L130_HUMAN,Cytoplasm,1207,158967,1475.9,-1701.9,-80.4,7218.35,32.56006628,8.036454018,24.1922121,14.08450704,13.67025684,7.207953604
MAOX_HUMAN,Cytoplasm,572,74354,680.4,-763.2,-60,3441.01,31.64335664,8.216783217,23.07692308,12.06293706,12.93706294,11.53846154
PYR1_DROME,Cytoplasm,2236,289183,2293.8,-2780.4,-282,13730.32,28.53309481,7.737030411,25.2236136,9.704830054,14.7137746,13.14847943
GLMT_RAT,Cytoplasm,292,37619,300.1,-355.4,-31.2,1777.42,29.45205479,10.2739726,20.54794521,6.849315068,14.7260274,13.35616438
TCPA_CAEEL,Cytoplasm,549,68618,758.1,-713.1,-33.6,3320.32,39.16211293,3.278688525,21.67577413,9.471766849,13.84335155,8.743169399
KIME_RAT,Cytoplasm,395,49031,505.1,-409.6,-48.8,2391.45,37.21518987,4.303797468,22.78481013,9.113924051,11.39240506,14.93670886
