Seq_Name,Location,Seq_Length,Mol_Wght(T),H/phob(T),H/philic,Uniq(T),Isoelc(Pi),group1_AlNP,group2_ArNP,group3_NeP,group4_AP,group5_BP,group6_Uniq
ESTR_HUMAN,Nucleus,595,76832,560.1,-710.7,-74.8,3640.04,27.56302521,7.226890756,26.8907563,10.25210084,14.45378151,13.78151261
H2B1_PARAN,Nucleus,144,18569,108.3,-243.1,-16.8,993.34,22.22222222,4.861111111,25.69444444,6.25,27.08333333,14.58333333
ID1_RAT,Nucleus,164,20311,192.4,-175.3,-18.4,986.3,35.97560976,4.87804878,25.6097561,10.97560976,9.756097561,13.41463415
RI14_HUMAN,Nucleus,1158,147582,986.3,-1728.6,-132.4,7036.02,24.00690846,4.490500864,34.80138169,13.55785838,14.68048359,10.9671848
HXB3_HUMAN,Nucleus,431,52035,226.7,-442.6,-120,2655.17,18.56148492,7.192575406,28.77030162,8.120649652,11.60092807,28.53828306
H2AV_TETTH,Nucleus,145,17758,162.2,-202.9,-16.8,964.08,33.79310345,4.137931034,13.79310345,6.896551724,23.44827586,18.62068966
H1_DROHY,Nucleus,249,30180,216,-375.7,-32,1698.59,30.92369478,2.008032129,25.30120482,3.212851406,26.90763052,10.44176707
HAP4_YEAST,Nucleus,554,72298,461.7,-975.6,-49.2,3256.2,20.75812274,7.039711191,36.10108303,18.41155235,14.07942238,7.039711191
HMLA_DROME,Nucleus,635,79549,397.9,-845.7,-105.6,3828.71,21.25984252,5.196850394,41.25984252,8.188976378,11.02362205,16.53543307
SOK1_YEAST,Nucleus,901,117168,903.5,-1335.1,-105.6,5497.1,25.97114317,6.548279689,34.51720311,13.42952275,13.76248613,9.655937847
PCNA_PLAFK,Nucleus,274,35466,354.4,-411.8,-12.4,1592.73,30.2919708,7.299270073,24.81751825,14.59854015,13.50364964,5.839416058
A33_PLEWA,Nucleus,624,82190,579.5,-994,-51.2,3801.11,24.83974359,6.891025641,26.76282051,15.06410256,17.78846154,8.493589744
HXAA_HUMAN,Nucleus,496,63581,326.5,-631.7,-124.8,3253.09,21.37096774,7.258064516,22.78225806,7.258064516,19.15322581,22.98387097
HMC1_MOUSE,Nucleus,268,33210,198.8,-276.7,-95.2,1681.05,24.62686567,8.582089552,18.28358209,5.223880597,11.94029851,29.47761194
KU70_HUMAN,Nucleus,608,80558,641.5,-925.1,-60.8,3697.21,26.48026316,8.717105263,22.03947368,12.5,16.77631579,10.19736842
RPB8_YEAST,Nucleus,146,19103,148.6,-200.1,-10.4,853.76,29.45205479,10.2739726,28.76712329,12.32876712,9.589041096,7.534246575
UBF1_HUMAN,Nucleus,764,103040,466.7,-1458.6,-73.2,4644.81,17.53926702,6.806282723,25.13089005,17.01570681,20.68062827,8.638743455
RCC_YEAST,Nucleus,482,61612,480.7,-648.9,-54.4,2887.95,27.17842324,7.883817427,23.02904564,10.99585062,14.3153527,13.90041494
HXC5_HUMAN,Nucleus,222,28926,140,-306.8,-36.8,1394.5,22.07207207,8.558558559,29.27927928,11.71171171,16.66666667,14.41441441
NUF2_YEAST,Nucleus,451,61013,532.9,-775.4,-12.4,2598.06,28.38137472,6.873614191,30.59866962,18.84700665,11.75166297,3.54767184
