Seq_Name,Location,Seq_Length,Mol_Wght(T),H/phob(T),H/philic,Uniq(T),Isoelc(Pi),group1_AlNP,group2_ArNP,group3_NeP,group4_AP,group5_BP,group6_Uniq
AATM_BOVIN,Mitochondrion,430,55181,461.8,-521.1,-45.6,2646.91,30.23255814,9.534883721,23.72093023,9.069767442,14.65116279,12.55813953
ODO1_YEAST,Mitochondrion,1014,132521,1025.3,-1445.1,-109.6,6161.69,26.33136095,9.960552268,24.45759369,11.04536489,15.0887574,11.93293886
ATPO_RAT,Mitochondrion,213,27186,273.8,-265.9,-20.4,1341.56,34.27230047,5.164319249,27.23004695,7.981220657,15.49295775,9.85915493
PT54_YEAST,Mitochondrion,293,39854,295.6,-471.9,-16,1797.43,25.2559727,12.62798635,26.96245734,13.65187713,17.06484642,5.460750853
DLD1_YEAST,Mitochondrion,576,74318,611.5,-782.8,-56.4,3493.19,28.29861111,6.770833333,25.52083333,10.76388889,15.45138889,10.9375
ODBB_BOVIN,Mitochondrion,392,49968,477.3,-407.7,-51.2,2350.56,32.65306122,10.96938776,20.91836735,7.908163265,10.71428571,14.28571429
HS60_SCHPO,Mitochondrion,582,72554,756.5,-755.8,-58.8,3525.28,35.05154639,3.780068729,21.47766323,10.82474227,13.05841924,13.40206186
SYFM_YEAST,Mitochondrion,474,63850,495,-719.6,-39.6,2895.12,25.52742616,9.282700422,25.52742616,13.29113924,17.29957806,8.227848101
ACDB_HUMAN,Mitochondrion,432,55189,485.5,-519.6,-37.6,2603.16,30.78703704,8.796296296,25.46296296,10.87962963,12.26851852,12.03703704
ACP_YEAST,Mitochondrion,125,16159,154.2,-181.4,-7.6,738.89,32,6.4,28.8,11.2,12,5.6
PCCB_RAT,Mitochondrion,541,68279,678.4,-623.7,-59.2,3288.07,33.27171904,7.763401109,21.99630314,9.057301294,12.93900185,13.4935305
RM27_YEAST,Mitochondrion,146,19083,118.8,-207.4,-20.8,945.04,20.54794521,10.95890411,24.65753425,9.589041096,19.8630137,17.12328767
MS16_YEAST,Mitochondrion,664,88116,730,-1098.9,-47.2,4093.08,26.95783133,8.13253012,25.15060241,14.60843373,18.07228916,7.379518072
PUT1_DROME,Mitochondrion,669,87902,669.8,-943.9,-59.2,4115.69,26.75635277,8.370702541,26.4573991,11.0612855,15.8445441,10.01494768
IDH1_YEAST,Mitochondrion,360,45741,429,-488.7,-33.6,2208.85,31.66666667,6.111111111,23.61111111,11.38888889,15,12.5
ODPB_HUMAN,Mitochondrion,359,45618,435.1,-394.7,-47.2,2173.43,33.14763231,7.799442897,21.16991643,10.58495822,12.25626741,14.48467967
MPP1_NEUCR,Mitochondrion,577,73324,588.8,-736.8,-65.2,3504.38,29.4627383,6.239168111,27.55632582,10.91854419,12.65164645,12.65164645
ODP2_NEUCR,Mitochondrion,458,56790,540.4,-578,-68.4,2785.1,34.06113537,4.80349345,21.1790393,11.35371179,12.66375546,15.06550218
GLN1_DROME,Mitochondrion,399,51715,381.4,-551.7,-49.2,2441.04,28.32080201,9.273182957,22.05513784,10.77694236,14.28571429,13.53383459
ILV5_YEAST,Mitochondrion,395,51410,384.2,-536.9,-39.2,2429.84,27.59493671,10.63291139,22.53164557,11.13924051,14.93670886,12.65822785
ISP1_TRYBB,Mitochondrion,145,19700,217,-33.3,-9.2,856.6,29.65517241,22.75862069,25.51724138,2.068965517,8.965517241,7.586206897
CPN1_HUMAN,Mitochondrion,503,66498,612.1,-613.5,-60.8,3114.59,32.80318091,9.343936382,23.45924453,9.741550696,14.31411531,11.1332008
CPM1_RAT,Mitochondrion,526,69966,581,-686.2,-62.4,3232.23,27.37642586,11.59695817,25.09505703,10.2661597,14.25855513,11.97718631
IDH3_BOVIN,Mitochondrion,366,46192,424.7,-421.3,-40.4,2214.24,31.69398907,6.284153005,23.7704918,10.6557377,13.38797814,13.66120219
THIM_RAT,Mitochondrion,397,48951,455.9,-442.9,-44.8,2407.7,32.74559194,5.793450882,24.68513854,8.060453401,11.83879093,15.36523929
CAH5_MOUSE,Mitochondrion,299,39398,265.8,-394.5,-41.6,1840.66,24.74916388,10.36789298,24.41471572,8.361204013,16.05351171,13.71237458
CP27_HUMAN,Mitochondrion,531,69705,607.9,-647.7,-70.4,3273.64,31.45009416,10.35781544,21.09227872,8.286252354,14.12429379,13.37099812
RT12_PARTE,Mitochondrion,139,18270,138.7,-227,-18.8,974.36,25.89928058,4.316546763,20.86330935,5.755395683,30.21582734,14.38848921
ODPA_HUMAN,Mitochondrion,390,50248,382.2,-475.6,-38.4,2389.69,28.46153846,8.461538462,22.82051282,10.51282051,15.12820513,13.07692308
HS71_LEIMA,Mitochondrion,634,79647,720.5,-866.7,-54.4,3815.9,32.01892744,5.047318612,23.97476341,11.829653,13.24921136,11.9873817
MRS2_YEAST,Mitochondrion,470,62628,553.8,-663.6,-25.6,2882.4,29.14893617,9.574468085,31.70212766,12.9787234,14.89361702,4.680851064
RM03_RAT,Mitochondrion,347,44437,325.1,-456.3,-53.6,2163.26,25.64841499,8.357348703,23.34293948,7.780979827,16.13832853,17.86743516
HEM1_CHICK,Mitochondrion,635,81280,662.6,-804.1,-70,3900.83,28.81889764,6.456692913,26.14173228,8.818897638,16.22047244,11.49606299
RM16_YEAST,Mitochondrion,232,30645,229.3,-353,-26,1510.64,24.56896552,9.482758621,21.98275862,10.77586207,21.98275862,13.79310345
RT12_ACACA,Mitochondrion,127,16928,106,-199.4,-16.4,867.45,22.83464567,8.661417323,22.83464567,7.086614173,27.55905512,13.38582677
KAD2_YEAST,Mitochondrion,225,29197,253.4,-320.7,-26.8,1384.67,30.66666667,6.666666667,22.66666667,8.888888889,15.11111111,12.44444444
ATPT_YEAST,Mitochondrion,325,42344,399.3,-469.1,-25.2,1984.23,32,5.846153846,27.69230769,12.30769231,14.46153846,8.307692308
ODO2_HUMAN,Mitochondrion,453,56768,540.4,-539.3,-72.8,2790.12,33.11258278,5.298013245,22.29580574,9.713024283,13.46578366,15.01103753
HEMZ_MOUSE,Mitochondrion,420,54618,424.8,-532.7,-58,2601.06,28.57142857,7.380952381,26.19047619,10.23809524,15.23809524,13.0952381
MGM1_YEAST,Mitochondrion,843,109939,951.3,-1268.8,-56,5095.83,29.30011862,6.049822064,27.16488731,12.93001186,15.65836299,7.354685647
RF1M_YEAST,Mitochondrion,413,54133,419.7,-641,-36,2548.63,27.36077482,7.021791768,24.93946731,12.59079903,17.43341404,9.443099274
PT11_YEAST,Mitochondrion,718,97197,831.1,-1021.8,-28.4,4399.83,27.71587744,11.83844011,29.1086351,11.14206128,16.15598886,4.456824513
AR56_SCHPO,Mitochondrion,885,113561,1033.4,-1212.3,-90.4,5428.28,31.52542373,7.796610169,25.08474576,10.50847458,14.23728814,11.29943503
RM41_YEAST,Mitochondrion,263,35247,255,-411.3,-34,1649.64,25.09505703,9.125475285,22.05323194,13.30798479,19.01140684,11.78707224
RM02_ACACA,Mitochondrion,253,33029,281.4,-333.4,-28.8,1657.45,28.06324111,9.881422925,21.73913043,8.695652174,20.15810277,15.41501976
RM49_YEAST,Mitochondrion,137,18450,155.8,-213.3,-14.8,856.61,27.00729927,6.569343066,25.54744526,12.40875912,19.7080292,9.489051095
SODM_YEAST,Mitochondrion,233,29921,245.5,-313.3,-22.4,1410.42,30.04291845,10.72961373,24.46351931,11.15879828,12.87553648,12.44635193
SSBS_XENLA,Mitochondrion,146,19334,166.6,-232.1,-10,914.24,28.76712329,8.219178082,25.34246575,9.589041096,17.80821918,8.904109589
IDHP_BOVIN,Mitochondrion,452,58884,462.7,-612.6,-44.8,2782.16,27.21238938,9.513274336,23.45132743,8.407079646,16.37168142,12.16814159
OTC_HUMAN,Mitochondrion,354,46209,392.2,-461.2,-31.2,2158.6,30.2259887,8.474576271,26.55367232,10.16949153,14.12429379,10.16949153
RTPT_YEAST,Mitochondrion,318,41663,329.1,-548.3,-22.4,1993.47,26.10062893,6.289308176,29.24528302,16.66666667,19.18238994,8.176100629
ADH3_YEAST,Mitochondrion,375,47055,444.9,-431.6,-41.2,2288.08,32.53333333,7.733333333,21.06666667,8.533333333,13.86666667,14.66666667
MAOM_HUMAN,Mitochondrion,584,75862,676.4,-716.2,-68.8,3553.48,31.16438356,8.904109589,22.60273973,10.10273973,13.35616438,12.5
EFTU_YEAST,Mitochondrion,437,55765,504,-565.8,-46,2662.89,31.12128146,5.034324943,22.65446224,10.52631579,14.87414188,13.27231121
MSS1_YEAST,Mitochondrion,526,67820,668.6,-736,-34.4,3182.21,31.36882129,6.653992395,28.3269962,10.07604563,13.878327,7.794676806
RT19_ACACA,Mitochondrion,78,10355,77.5,-118.8,-2.8,532.54,21.79487179,8.974358974,26.92307692,7.692307692,29.48717949,8.974358974
C1TM_YEAST,Mitochondrion,975,123627,1190.3,-1263.7,-112.4,5976.72,33.23076923,5.846153846,21.84615385,10.05128205,14.97435897,12.82051282
ETFB_HUMAN,Mitochondrion,255,32383,343.9,-354.7,-27.6,1573.27,37.64705882,2.352941176,16.8627451,10.19607843,16.47058824,11.76470588
ODPX_YEAST,Mitochondrion,410,52672,455.2,-594.5,-42.8,2457.88,30.24390244,6.829268293,25.36585366,12.19512195,13.90243902,9.268292683
ILV3_YEAST,Mitochondrion,585,73301,589.4,-660.4,-73.6,3548.03,28.20512821,6.666666667,25.81196581,10.25641026,12.82051282,16.06837607
MTDC_DROME,Mitochondrion,357,45122,424.8,-451.1,-45.6,2195.2,33.05322129,3.361344538,24.08963585,9.243697479,14.84593838,13.44537815
DLDH_HUMAN,Mitochondrion,509,63232,611,-593.9,-50.4,3088.73,32.80943026,5.893909627,22.78978389,10.21611002,13.35952849,14.73477407
ACDM_HUMAN,Mitochondrion,421,54095,429.6,-542.2,-40.4,2575.3,29.45368171,9.026128266,22.09026128,11.40142518,14.25178147,13.30166271
IATP_PICJA,Mitochondrion,62,8168,47.9,-134.6,-1.2,376.07,24.19354839,3.225806452,20.96774194,12.90322581,22.58064516,4.838709677
HSP7_YEAST,Mitochondrion,811,105762,987.3,-1269.4,-64.8,4997.37,32.675709,4.562268804,20.71516646,11.71393342,17.6325524,8.877928483
THIL_RAT,Mitochondrion,424,52257,527.1,-455.1,-48,2593.19,36.79245283,4.716981132,22.16981132,9.198113208,12.73584906,14.1509434
STF1_YEAST,Mitochondrion,86,11581,75.8,-166.1,-8.4,554.3,24.41860465,5.813953488,23.25581395,18.60465116,23.25581395,10.46511628
RM02_PARTE,Mitochondrion,259,34410,255,-335.8,-30,1693.93,24.71042471,13.51351351,25.0965251,9.266409266,19.69111969,12.74131274
ETFB_YEAST,Mitochondrion,261,33405,350.4,-382.5,-26,1596.86,35.24904215,2.681992337,22.22222222,13.40996169,15.70881226,9.961685824
