Seq_Name,Location,Seq_Length,Mol_Wght(T),H/phob(T),H/philic,Uniq(T),Isoelc(Pi),group1_AlNP,group2_ArNP,group3_NeP,group4_AP,group5_BP,group6_Uniq
EF2_ENTHI,Cytoplasm,840,108319,931,-1048,-89,5066,29,8,24,11,14,13
143B_BOVIN,Cytoplasm,245,32311,221,-397,-12,1439,27,8,29,18,13,6
GLB2_ASCSU,Cytoplasm,153,20170,153,-214,-12,927,28,10,22,10,18,9
QOR_MOUSE,Cytoplasm,331,41168,407,-381,-37,2021,34,6,20,9,14,15
GTMU_CAVPO,Cytoplasm,217,29577,219,-288,-24,1316,24,14,23,12,15,11
ACLY_RAT,Cytoplasm,1100,140279,1245,-1259,-130,6672,31,9,22,9,13,14
COAC_YEAST,Cytoplasm,2237,290740,2565,-3078,-228,13509,30,8,23,12,14,11
G3P2_AGABI,Cytoplasm,338,42594,402,-399,-33,2044,33,8,23,9,13,13
GTC_RABIT,Cytoplasm,220,29231,254,-334,-24,1357,30,8,19,14,18,10
EF1A_TETPY,Cytoplasm,435,56054,491,-602,-52,2677,29,7,20,10,17,14
GLNA_CRILO,Cytoplasm,373,48786,298,-482,-50,2264,21,11,25,13,15,15
TCPD_MOUSE,Cytoplasm,539,67683,701,-678,-42,3279,36,3,27,9,13,10
SODC_BRUPA,Cytoplasm,158,19149,168,-204,-19,958,29,3,23,8,15,19
IPPI_YEAST,Cytoplasm,287,38331,284,-438,-28,1676,24,9,26,17,14,9
ABL1_HUMAN,Cytoplasm,1130,143128,979,-1517,-179,6953,25,6,26,12,15,16
GSHC_HUMAN,Cytoplasm,201,25474,232,-221,-31,1216,32,8,22,11,11,16
CYTA_HUMAN,Cytoplasm,98,12740,93,-152,-11,586,27,8,22,14,14,13
LEU3_KLULA,Cytoplasm,362,45083,469,-433,-47,2165,37,5,20,11,11,14
KC1B_BOVIN,Cytoplasm,336,44739,330,-457,-30,2078,25,11,26,9,17,11
PP11_YEAST,Cytoplasm,311,41077,337,-380,-30,1841,28,12,24,12,12,11
PYP3_SCHPO,Cytoplasm,303,39979,370,-383,-26,1832,30,10,28,12,13,9
