Seq_Name,Location,Seq_Length,Mol_Wght(T),H/phob(T),H/philic,Uniq(T),Isoelc(Pi),group1_AlNP,group2_ArNP,group3_NeP,group4_AP,group5_BP,group6_Uniq
ALB1_XENLA,Extracellular,606,81309,564.2,-883.6,-58.4,3600,23.26732673,8.085808581,25.90759076,14.68646865,17.65676568,7.755775578
IBP3_HUMAN,Extracellular,291,36844,232.9,-346.2,-51.2,1821.93,24.39862543,5.498281787,26.11683849,7.903780069,16.83848797,17.18213058
PSPA_CANFA,Extracellular,248,30685,207.3,-266.6,-53.6,1470.8,24.19354839,6.048387097,24.19354839,12.5,9.274193548,25
TRY1_RAT,Extracellular,246,30340,286.7,-221.6,-32.4,1430.33,33.33333333,7.317073171,28.45528455,10.16260163,6.504065041,15.85365854
APE_RAT,Extracellular,311,41577,303,-535.1,-20.4,1903.94,29.58199357,4.501607717,26.36655949,14.79099678,15.4340836,7.717041801
SSP2_BOMMO,Extracellular,704,96025,730.9,-912.5,-60,4209.36,24.85795455,17.89772727,23.29545455,12.21590909,13.35227273,8.096590909
TRY3_ANOGA,Extracellular,275,34302,316.2,-294.2,-29.6,1655.99,33.09090909,6.909090909,26.54545455,8.363636364,10.54545455,13.81818182
ABP_HUMAN,Extracellular,751,98767,727.4,-925.4,-121.2,4572.74,25.56591212,12.51664447,22.50332889,9.454061252,13.8482024,15.5792277
FBP1_STRPU,Extracellular,1064,131083,854,-827.5,-126.8,5838.4,22.08646617,7.612781955,37.87593985,13.90977444,2.72556391,16.2593985
HCYE_EURCA,Extracellular,623,82660,648.5,-869.4,-63.2,3713.81,26.32423756,10.43338684,21.82985554,11.87800963,15.24879615,10.91492777
FA8_HUMAN,Extracellular,2351,309007,2230.8,-3284,-256.4,14231.49,24.11739685,9.570395576,29.60442365,11.61207997,14.33432582,10.9315185
HCY2_LIMPO,Extracellular,628,83833,620.3,-929.3,-65.6,3777.71,25.15923567,10.98726115,19.26751592,11.62420382,18.31210191,10.82802548
CASB_MOUSE,Extracellular,231,29448,322,-270.5,-34.4,1371.57,36.7965368,4.761904762,34.63203463,8.225108225,7.359307359,9.956709957
CUTI_COLCA,Extracellular,228,27773,289.8,-216.3,-23.2,1367.28,37.28070175,7.01754386,29.38596491,9.649122807,7.456140351,12.28070175
EOAT_MOUSE,Extracellular,97,12608,107.4,-120.8,-10.4,623.83,27.83505155,6.18556701,35.05154639,4.12371134,18.55670103,8.24742268
CUTI_PHYCP,Extracellular,210,26083,188,-200.1,-45.6,1303.22,29.04761905,4.761904762,30.47619048,5.238095238,11.9047619,18.57142857
APC3_CANFA,Extracellular,100,12676,97.2,-112.8,-8.4,595.12,30,9,31,5,10,9
APA2_HUMAN,Extracellular,100,12944,120,-125.2,-8,601.9,33,8,27,11,12,8
CTRB_HUMAN,Extracellular,263,32554,302.8,-242.3,-30.8,1570.99,31.9391635,7.984790875,28.51711027,5.703422053,9.125475285,14.4486692
ALS_HUMAN,Extracellular,605,76831,788,-707.2,-79.6,3667.52,36.36363636,6.446280992,20.99173554,11.07438017,11.40495868,15.04132231
APA1_BOVIN,Extracellular,265,34994,293.9,-446.1,-17.2,1609.59,32.83018868,6.79245283,20,11.69811321,16.60377358,7.169811321
PRTS_MOUSE,Extracellular,675,86981,706.6,-826.5,-64,4019.67,27.40740741,8.740740741,28,12.2962963,12.14814815,11.25925926
HCYA_PANIN,Extracellular,657,87419,634.4,-977.4,-66.8,3897.04,23.74429224,11.26331811,21.91780822,13.24200913,15.67732116,11.71993912
CL43_BOVIN,Extracellular,301,36727,194.8,-380.8,-73.6,1814.1,19.93355482,4.318936877,20.59800664,12.62458472,12.2923588,28.23920266
FBLD_MOUSE,Extracellular,705,90641,612.9,-791.6,-81.6,4127.28,21.84397163,6.95035461,33.90070922,12.90780142,11.34751773,12.76595745
LAMR_PETMA,Extracellular,119,13440,163.7,-45.6,-22.4,730.1,43.69747899,7.56302521,11.76470588,0.840336134,7.56302521,29.41176471
MS2A_DROME,Extracellular,264,34372,280.8,-445.2,-22.8,1607.61,29.54545455,3.409090909,32.57575758,14.77272727,15.15151515,6.818181818
CBPN_HUMAN,Extracellular,458,60453,461.1,-628.7,-61.6,2794.7,26.63755459,10.26200873,23.36244541,12.88209607,14.84716157,13.97379913
ALBU_BOVIN,Extracellular,607,80122,614.5,-843.7,-51.6,3648.4,27.3476112,8.896210873,23.06425041,12.02635914,16.96869852,7.413509061
INIG_MOUSE,Extracellular,98,12522,120.5,-113.6,-13.2,626.5,32.65306122,2.040816327,28.57142857,9.183673469,17.34693878,12.24489796
ZP3B_HUMAN,Extracellular,372,48055,384,-437,-51.2,2201.3,26.88172043,7.795698925,28.76344086,9.946236559,11.55913978,12.6344086
AFAM_RAT,Extracellular,608,80182,622.6,-824.6,-49.2,3636.59,26.64473684,9.046052632,28.94736842,12.33552632,14.47368421,6.907894737
OLFM_RANCA,Extracellular,464,60845,508.7,-600.9,-32,2809.35,29.74137931,8.620689655,28.44827586,13.79310345,14.00862069,8.189655172
JSP1_TRINI,Extracellular,624,83899,719.9,-863.9,-64.4,3761.14,29.80769231,11.85897436,23.07692308,12.82051282,14.26282051,8.974358974
VTNC_PIG,Extracellular,459,60757,357.2,-604.9,-69.6,2770.84,21.78649237,12.63616558,22.87581699,8.932461874,13.7254902,15.03267974
SODE_DIRIM,Extracellular,195,24262,230.1,-239.5,-20,1208.94,31.28205128,5.128205128,29.23076923,11.79487179,14.87179487,14.87179487
TRAM_BOVIN,Extracellular,183,25241,76.6,-220.2,-14.8,1069.59,13.66120219,19.67213115,32.24043716,12.02185792,10.92896175,10.38251366
HP27_TAMAS,Extracellular,215,26623,207.7,-210.8,-48.4,1289.52,25.58139535,7.441860465,24.18604651,10.23255814,9.76744186,24.18604651
ACH1_BOMMO,Extracellular,400,51703,517.9,-522,-42.8,2381.86,32.75,8.75,20.25,12,13,11
CBG_RAT,Extracellular,396,51731,451.2,-480.5,-34,2320.25,28.78787879,10.1010101,32.32323232,10.1010101,9.090909091,8.585858586
PSPC_RABIT,Extracellular,186,22996,234,-141,-33.6,1131.89,36.55913978,5.376344086,23.11827957,5.913978495,9.677419355,17.74193548
CAS1_RABIT,Extracellular,215,29351,221.1,-346.4,-23.2,1287.45,28.8372093,8.837209302,24.18604651,17.20930233,13.95348837,7.441860465
CAC3_BOVIN,Extracellular,240,30136,241.7,-240.9,-32.4,1402.62,28.75,9.583333333,26.66666667,7.5,8.333333333,16.25
FETA_HORSE,Extracellular,609,79216,647,-783.1,-52,3614.32,28.40722496,7.717569787,29.88505747,13.46469622,12.31527094,8.538587849
PSPC_MOUSE,Extracellular,193,24486,225,-181.8,-27.6,1169.05,32.12435233,6.735751295,25.90673575,6.735751295,11.39896373,13.98963731
A1AT_HUMAN,Extracellular,418,54190,509.1,-563.7,-40,2476.05,29.66507177,8.612440191,24.88038278,11.96172249,12.91866029,10.28708134
CTR1_PENVA,Extracellular,271,33513,290.6,-253.1,-38.8,1609.26,29.5202952,8.118081181,29.15129151,7.380073801,8.487084871,16.97416974
PSPD_BOVIN,Extracellular,369,43943,260.3,-401.4,-104.4,2260.13,21.13821138,4.06504065,22.22222222,9.756097561,10.56910569,32.5203252
CRA2_HOMGA,Extracellular,174,22762,158.3,-208.6,-18.8,1027.71,24.71264368,16.09195402,27.01149425,12.06896552,10.91954023,9.770114943
TIM3_HUMAN,Extracellular,211,27897,166.8,-212.2,-23.6,1298.46,22.74881517,13.74407583,28.43601896,7.109004739,14.21800948,13.74407583
SODE_RAT,Extracellular,244,31024,233.6,-312.9,-29.2,1466.53,26.2295082,6.147540984,26.2295082,11.06557377,13.93442623,15.16393443
KNH_RAT,Extracellular,639,82338,555.2,-949.3,-82.4,3862.33,22.22222222,6.885758998,26.9170579,11.26760563,16.90140845,13.92801252
LP2_BOMMO,Extracellular,264,34735,267.9,-346.2,-18,1579.92,27.65151515,12.87878788,28.03030303,12.87878788,11.74242424,9.090909091
CAS2_PIG,Extracellular,235,31751,205.6,-373.6,-16.8,1404.47,22.12765957,11.06382979,32.76595745,17.0212766,14.89361702,5.106382979
CASK_CAVPO,Extracellular,234,29762,250.2,-264.5,-39.2,1361.2,30.34188034,8.11965812,29.91452991,11.96581197,7.264957265,12.39316239
ANT3_HUMAN,Extracellular,464,60876,524.7,-627.4,-42,2802.25,28.44827586,9.482758621,25.64655172,13.36206897,14.00862069,9.051724138
AMYP_MOUSE,Extracellular,508,66479,470.9,-669.4,-50.8,3064.11,24.60629921,12.20472441,26.18110236,12.99212598,13.18897638,13.18897638
MIG_HUMAN,Extracellular,125,16234,142,-204.7,-9.6,831.81,28,2.4,29.6,6.4,24.8,9.6
